nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_bucket,actual_minutes,allowed_dir,dir_ok,platform_ok,_opp_def_bucket,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket
1642277,Johnny Furphy,IND,MIL,19.5,,pra,Demon,OVER,A,7.56,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,18.0,1,4,0,0.2,14,Avg,7.56,7.93,1.05,Demon | NA,OVER | NA,NA | NA
1629631,De'Andre Hunter,SAC,LAC,19.5,,points,Demon,OVER,A,7.54,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-G,Points,26.18,0,5,0,0.0,23,Bad,7.54,7.54,1.0,Demon | NA,OVER | NA,NA | NA
1630595,Cade Cunningham,DET,NYK,46.5,,pra,Demon,OVER,A,7.45,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,35.3,0,5,0,0.0,6,Elite,7.45,7.83,1.05,Demon | NA,OVER | NA,NA | NA
1629674,Neemias Queta,BOS,MIA,14.5,,pra,Goblin,OVER,A,7.4,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,25.42,4,1,0,0.8,10,Good,7.4,7.77,1.05,Goblin | NA,OVER | NA,NA | NA
1628370,Malik Monk,SAC,LAC,5.5,,points,Goblin,OVER,A,7.4,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,22.17,4,1,0,0.8,23,Bad,7.4,7.4,1.0,Goblin | NA,OVER | NA,NA | NA
1628381,John Collins,LAC,SAC,29.5,,pra,Demon,OVER,A,7.39,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-C,Pts+Rebs+Asts,27.53,0,5,0,0.0,26,Target,7.39,7.76,1.05,Demon | NA,OVER | NA,NA | NA
1631101,Shaedon Sharpe,POR,MEM,35.5,,pra,Demon,OVER,A,7.38,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,30.32,1,4,0,0.2,17,Avg,7.38,7.74,1.05,Demon | NA,OVER | NA,NA | NA
1627739,Kris Dunn,LAC,SAC,21.5,,pra,Demon,OVER,A,7.37,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,27.14,0,5,0,0.0,26,Target,7.37,7.74,1.05,Demon | NA,OVER | NA,NA | NA
1627739,Kris Dunn,LAC,SAC,14.5,,points,Demon,OVER,A,7.36,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,27.14,0,5,0,0.0,26,Target,7.36,7.36,1.0,Demon | NA,OVER | NA,NA | NA
201572,Brook Lopez,LAC,SAC,14.5,,points,Demon,OVER,A,7.35,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Points,17.35,0,5,0,0.0,26,Target,7.35,7.35,1.0,Demon | NA,OVER | NA,NA | NA
1628398,Kyle Kuzma,MIL,IND,34.5,,pra,Demon,OVER,A,7.34,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,27.0,1,4,0,0.2,21,Bad,7.34,7.7,1.05,Demon | NA,OVER | NA,NA | NA
1631170,Jaime Jaquez,MIA,BOS,19.5,,pra,Goblin,OVER,A,7.34,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,28.81,5,0,0,1.0,6,Elite,7.34,7.71,1.05,Goblin | NA,OVER | NA,NA | NA
1642907,Cedric Coward,MEM,POR,19.5,,points,Demon,OVER,A,7.33,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,26.72,0,5,0,0.0,25,Target,7.33,7.33,1.0,Demon | NA,OVER | NA,NA | NA
1641796,Pelle Larsson,MIA,BOS,7.5,,points,Goblin,OVER,A,7.22,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,24.27,5,0,0,1.0,6,Elite,7.22,7.22,1.0,Goblin | NA,OVER | NA,NA | NA
1641796,Pelle Larsson,MIA,BOS,16.5,,pra,Goblin,OVER,A,7.15,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,24.27,5,0,0,1.0,6,Elite,7.15,7.51,1.05,Goblin | NA,OVER | NA,NA | NA
201950,Jrue Holiday,POR,MEM,19.5,,points,Demon,OVER,A,7.15,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,28.14,1,4,0,0.2,17,Avg,7.15,7.15,1.0,Demon | NA,OVER | NA,NA | NA
1631323,Simone Fontecchio,MIA,BOS,9.5,,pra,Goblin,OVER,A,7.11,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,17.37,4,1,0,0.8,6,Elite,7.11,7.47,1.05,Goblin | NA,OVER | NA,NA | NA
1627734,Domantas Sabonis,SAC,LAC,9.5,,points,Goblin,OVER,A,7.06,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-C,Points,29.74,5,0,0,1.0,23,Bad,7.06,7.06,1.0,Goblin | NA,OVER | NA,NA | NA
202696,Nikola Vučević,BOS,MIA,10.5,,points,Goblin,OVER,A,7.06,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Points,30.85,5,0,0,1.0,10,Good,7.06,7.06,1.0,Goblin | NA,OVER | NA,NA | NA
201572,Brook Lopez,LAC,SAC,17.5,,pra,Demon,OVER,A,7.05,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,17.35,1,4,0,0.2,26,Target,7.05,7.41,1.05,Demon | NA,OVER | NA,NA | NA
1641709,Ausar Thompson,DET,NYK,16.5,,points,Demon,OVER,A,7.02,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Points,25.91,0,5,0,0.0,6,Elite,7.02,7.02,1.0,Demon | NA,OVER | NA,NA | NA
201942,DeMar DeRozan,SAC,LAC,14.5,,points,Goblin,OVER,A,7.02,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Points,33.08,4,1,0,0.8,23,Bad,7.02,7.02,1.0,Goblin | NA,OVER | NA,NA | NA
203944,Julius Randle,MIN,NOP,39.5,,pra,Demon,OVER,A,6.98,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-C,Pts+Rebs+Asts,33.48,2,3,0,0.4,26,Target,6.98,7.33,1.05,Demon | NA,OVER | NA,NA | NA
201942,DeMar DeRozan,SAC,LAC,21.5,,pra,Goblin,OVER,A,6.96,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,33.08,4,1,0,0.8,23,Bad,6.96,7.3,1.05,Goblin | NA,OVER | NA,NA | NA
1629645,Kevin Porter,MIL,IND,19.5,,points,Demon,OVER,A,6.9,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Points,33.38,0,5,0,0.0,21,Bad,6.9,6.9,1.0,Demon | NA,OVER | NA,NA | NA
1630643,Jay Huff,IND,MIL,21.5,,pra,Demon,OVER,A,6.89,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,19.49,1,4,0,0.2,14,Avg,6.89,7.24,1.05,Demon | NA,OVER | NA,NA | NA
203497,Rudy Gobert,MIN,NOP,16.5,,points,Demon,OVER,A,6.88,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Points,31.28,0,5,0,0.0,26,Target,6.88,6.88,1.0,Demon | NA,OVER | NA,NA | NA
1630573,Sam Hauser,BOS,MIA,17.5,,points,Demon,OVER,A,6.86,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Points,23.84,0,5,0,0.0,10,Good,6.86,6.86,1.0,Demon | NA,OVER | NA,NA | NA
1631157,Ryan Rollins,MIL,IND,24.5,,pra,Goblin,OVER,A,6.85,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,31.94,5,0,0,1.0,21,Bad,6.85,7.19,1.05,Goblin | NA,OVER | NA,NA | NA
1629645,Kevin Porter,MIL,IND,31.5,,pra,Demon,OVER,A,6.83,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,33.38,1,4,0,0.2,21,Bad,6.83,7.17,1.05,Demon | NA,OVER | NA,NA | NA
1628969,Mikal Bridges,NYK,DET,28.5,,pra,Demon,OVER,A,6.74,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,34.67,2,3,0,0.4,3,Elite,6.74,7.07,1.05,Demon | NA,OVER | NA,NA | NA
202695,Kawhi Leonard,LAC,SAC,42.5,,pra,Demon,OVER,A,6.7,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,32.73,0,5,0,0.0,26,Target,6.7,7.03,1.05,Demon | NA,OVER | NA,NA | NA
