nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_bucket,actual_minutes,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight
1627750,Jamal Murray,DEN,CHI,29.5,,pra,Goblin,OVER,A,8.23,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,35.79,4,1,0,0.8,14,Avg,8.23,8.23,1.0
1630598,Aaron Wiggins,OKC,HOU,20.5,,points,Demon,OVER,A,8.23,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,24.03,0,5,0,0.0,9,Good,8.23,8.23,1.0
1641718,Keyonte George,UTA,ORL,17.5,,points,Goblin,OVER,A,8.22,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,34.4,5,0,0,1.0,8,Good,8.22,8.22,1.0
1629638,Nickeil Alexander-Walker,ATL,CHA,19.5,,pra,Goblin,OVER,A,8.21,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,33.02,5,0,0,1.0,14,Avg,8.21,8.21,1.0
1629014,Anfernee Simons,CHI,DEN,24.5,,points,Demon,OVER,A,8.18,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,24.66,1,4,0,0.2,13,Avg,8.18,8.18,1.0
1642954,Will Richard,GSW,LAL,18.5,,pra,Demon,OVER,A,8.14,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,19.36,1,4,0,0.2,24,Bad,8.14,8.14,1.0
1642907,Cedric Coward,MEM,POR,19.5,11.0,points,Demon,OVER,A,8.12,3+,NA,25.016666666666666,NA,Demon | NA,OVER | NA,NA | NA,,,,MISS,,-1,G,Points,26.68,0,5,0,0.0,25,Target,8.12,8.12,1.0
1627734,Domantas Sabonis,SAC,CLE,24.5,,pra,Goblin,OVER,A,8.05,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-C,Pts+Rebs+Asts,29.74,4,1,0,0.8,11,Good,8.05,8.05,1.0
1630171,Isaac Okoro,CHI,DEN,21.5,,pra,Demon,OVER,A,7.98,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-G,Pts+Rebs+Asts,25.84,1,4,0,0.2,13,Avg,7.98,7.98,1.0
1641731,Bilal Coulibaly,WAS,BKN,23.5,,pra,Demon,OVER,A,7.96,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,26.68,0,5,0,0.0,29,Target,7.96,7.96,1.0
1631096,Chet Holmgren,OKC,HOU,34.5,,pra,Demon,OVER,A,7.96,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C-F,Pts+Rebs+Asts,29.22,1,4,0,0.2,9,Good,7.96,7.96,1.0
1642270,Donovan Clingan,POR,MEM,19.5,13.0,points,Demon,OVER,A,7.94,3+,NA,25.416666666666668,NA,Demon | NA,OVER | NA,NA | NA,,,,MISS,,-1,C,Points,27.27,0,5,0,0.0,17,Avg,7.94,7.94,1.0
1628374,Lauri Markkanen,UTA,ORL,24.5,,pra,Goblin,OVER,A,7.89,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-C,Pts+Rebs+Asts,35.24,3,2,0,0.6,8,Good,7.89,7.89,1.0
1641783,Tristan da Silva,ORL,UTA,18.5,,pra,Demon,OVER,A,7.87,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,22.56,0,5,0,0.0,30,Target,7.87,7.87,1.0
1631119,Jaylin Williams,OKC,HOU,9.5,,pra,Goblin,OVER,A,7.83,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,19.32,5,0,0,1.0,9,Good,7.83,7.83,1.0
