player_norm,espn_athlete_id
franco carboni,308939
alessandro circati,332081
mariano troilo,366526
sascha britschgi,396009
roberto d'intino,411269
bernardo conde,415051
dominik drobnic,417783
nahuel estevez,223645
adrian bernabe,276653
hans nicolussi caviglia,286764
oliver sørensen,297751
gaetano oristanio,297786
mandela keita,316609
christian ordonez,339198
benjamin cremaschi,356358
abdou-salam konate,371539
alessandro ciardi,388069
elia plicco,398034
edoardo tigani,414527
pontus almqvist,253569
gabriel strefezza,255247
daniel mikolajewski,290667
jacob ondrejka,303648
matija frigan,310860
mateo pellegrino,312757
nesta elphege,361749
alessandro cardinali,411268
carlo pinsoglio,121036
mattia perin,146683
michele di gregorio,240055
simone scaglia,354804
matteo fuscaldo,408851
stefano mangiapoco,414157
raffaele huli,418135
juan cabal,24412
lloyd kelly,243787
bremer,258307
bruno martinez,270400
emil holm,286814
pierre kalulu,290129
andrea cambiaso,308029
federico gatti,323147
javier gil,395579
niccolo rizzo,397463
filip kostic,174496
manuel locatelli,217538
weston mckennie,256715
teun koopmeiners,258968
khephren thuram,283139
fabio miretti,323975
vasilije adzic,344917
arkadiusz milik,179359
jeremie boga,206153
dusan vlahovic,235677
edon zhegrova,260300
jonathan david,273499
lois openda,276265
francisco conceicao,312659
kenan yildiz,366509
lorenzo anghele,387439
nicolas andrade,166333
simone scuffet,181784
adrian semper,228326
tommaso guizzo,418075
matteo luppichini,418961
raul albiol,41970
antonio caracciolo,144600
francesco coppola,154425
arturo calabresi,194758
simone canestrelli,267942
felipe loyola,320555
samuele angori,324765
rosen bozhinov,382742
daniel denoon,390613
juan cuadrado,118986
idrissa toure,234951
michel aebischer,245623
calvin stengs,248677
marius marin,250402
mehdi leris,256212
malthe hojholt,296312
gabriele piccinini,324253
isak vural,340184
lorran,357117
ebenezer akinsanmiro,362776
daniel battistella,411275
brando bettazzi,411325
stefano moreo,207874
matteo tramoni,260237
filip stojilkovic,302141
samuel iling-junior,341273
rafiu durosinmi,358249
henrik meister,366395
lorenzo tosi,387410
lorenzo montipo,184737
simone perilli,186232
giacomo toniolo,333377
mirko castagnini,411278
arthur borghi,418379
pol lirola,239918
victor nelsson,241138
martin frese,253960
domagoj bradaric,276582
armel bella-kotchap,286128
daniel oyegoke,296613
nicolas valentini,318084
andrias edmundsson,331416
tobias slotsager,341268
rafik belghali,364590
william feola,384835
davide de battisti,389432
fallou cham,409507
andrej popovic,414761
jean-daniel akpa akpro,164519
roberto gagliardini,193977
sandi lovric,219725
suat serdar,227053
moatasem al-musrati,257368
antoine bernede,259820
abdou harroui,268961
cheikh niasse,284592
tomas suslov,301665
luca monticelli,365990
luca szimionas,405526
ruben akale,411277
jurgen peci,419225
daniel mosquera,236424
kieron bowie,283375
amin sarr,303752
ioan vermesan,334364
gift orban,356402
isaac,357482
junior ajayi,384541
wladimiro falcone,177812
christian fruchtl,259054
jasper samooja,332018
plamen penev,409073
daniele bleve,415700
antonino gallo,277441
corrie ndaba,287673
jamil siebert,307391
kialonda gaspar,318604
danilo veiga,344844
gaby jean,346283
tiago gabriel,379865
matias perez,386020
alex sala,119310
lassana coulibaly,223947
ylber ramadani,237455
lameck banda,267910
thorir johann helgason,275227
filip marchwinski,304928
sadik fofana,324661
omri gandelman,326642
oumar ngom,334793
medon berisha,341756
olaf gorter,374812
niko kovac,391033
riccardo sottil,262480
konan n’dri,286582
santiago pierotti,288429
walid cheddira,292241
nikola stulic,304512
francesco camarda,377563
alberto paleari,241414
franco israel,271445
lapo siviero,367321
marcus pedersen,129285
cristiano biraghi,152044
guillermo maripan,200562
adrian ismajli,239120
enzo ebosse,242601
