rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,sample_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge
900,A,Hampus Lindholm,BOS,PIT,0,SKATER,D,Goals,goals,0.5,UNDER,94.0%,100.0%,90.0%,90.0%,90.0%,5,10,20,30,0.20,0.20,0.18,0.18,-0.3,-0.3,0,0,1,17,DEPTH,PP_OCC,SOLID,9,2.968,0.000,0.000,0.438,0.083,20.06,22.05,0.77080,0.4400
901,A,Noah Hanifin,VGK,EDM,1,SKATER,D,Goals,goals,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.20,0.10,0.15,0.13,-0.3,-0.4,1,0,0,30,DEPTH,PP_OCC,WEAK,27,3.429,0.000,0.000,0.404,0.115,21.65,23.15,0.77000,0.5000
902,A,Kaedan Korczak,VGK,EDM,1,SKATER,D,Assists,assists,0.5,UNDER,85.0%,80.0%,90.0%,90.0%,80.0%,5,10,20,30,0.00,0.30,0.25,0.23,,-0.2,0,0,0,30,SHUTDOWN,NO_PP,WEAK,27,3.429,0.000,0.000,0.206,0.000,16.58,16.68,0.77000,0.3500
903,A,Kaedan Korczak,VGK,EDM,1,SKATER,D,Points,points,0.5,UNDER,85.0%,80.0%,90.0%,90.0%,80.0%,5,10,20,30,0.00,0.30,0.25,0.23,,-0.2,0,0,0,30,SHUTDOWN,NO_PP,WEAK,27,3.429,0.000,0.000,0.206,0.000,16.58,16.68,0.77000,0.3500
904,A,Brandon Tanev,UTA,CHI,0,SKATER,F,Goals,goals,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.05,0.07,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.044,0.000,11.44,9.40,0.77000,0.5000
905,A,Curtis Douglas,VAN,OTT,0,SKATER,F,Goals,goals,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,29,0.00,0.00,0.00,0.00,,,,,,0,SHUTDOWN,NO_PP,AVERAGE,21,3.194,0.000,0.000,0.069,0.000,0.00,5.97,0.77000,0.5000
906,A,Nick Bjugstad,NJ,DET,0,SKATER,F,Goals,goals,0.5,UNDER,97.5%,100.0%,100.0%,90.0%,90.0%,5,10,20,30,0.40,0.30,0.15,0.10,-0.1,-0.2,0,1,0,30,SHUTDOWN,NO_PP,SOLID,14,3.016,0.000,0.000,0.000,0.000,11.46,9.58,0.76950,0.4750
907,A,Noah Hanifin,VGK,EDM,1,SKATER,D,Shots On Goal,shots_on_goal,2.5,UNDER,73.2%,60.0%,80.0%,90.0%,76.7%,5,10,20,30,1.80,1.70,1.50,1.67,-0.7,-0.8,2,2,3,30,DEPTH,PP_OCC,WEAK,27,3.429,0.000,0.000,0.404,0.115,21.65,23.15,0.76950,0.2317
908,A,Jack McBain,UTA,CHI,0,SKATER,F,Goals,goals,0.5,UNDER,97.5%,100.0%,100.0%,90.0%,90.0%,5,10,20,30,0.00,0.10,0.10,0.10,,-0.4,0,0,0,30,DEPTH,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.349,0.000,14.17,14.10,0.76950,0.4750
909,A,Oliver Bjorkstrand,TB,BUF,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,74.0%,80.0%,80.0%,60.0%,50.0%,5,10,20,30,2.20,2.10,1.70,1.63,0.7,0.6,3,1,3,30,DEPTH,PP_REGULAR,ELITE,8,2.952,0.000,0.000,0.475,0.230,13.99,14.12,0.76880,0.2400
910,A,Luke Hughes,NJ,DET,0,SKATER,D,Shots On Goal,shots_on_goal,1.5,OVER,72.2%,80.0%,70.0%,60.0%,66.7%,5,10,20,30,2.80,2.70,2.10,1.97,1.3,1.2,0,3,5,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.547,0.170,22.84,22.92,0.76830,0.2217
911,A,Jacob Trouba,ANA,STL,1,SKATER,D,Points,points,1.5,UNDER,82.8%,80.0%,80.0%,90.0%,93.3%,5,10,20,30,0.00,0.10,0.10,0.10,,-1.4,0,0,0,30,DEPTH,NO_PP,WEAK,26,3.419,0.000,0.000,0.492,0.016,20.06,22.77,0.76830,0.3283
912,A,Noah Hanifin,VGK,EDM,1,SKATER,D,Assists,assists,0.5,UNDER,81.8%,80.0%,90.0%,80.0%,63.3%,5,10,20,30,0.00,0.30,0.40,0.47,,-0.2,0,0,0,30,DEPTH,PP_OCC,WEAK,27,3.429,0.000,0.000,0.404,0.115,21.65,23.15,0.76830,0.3183
913,A,Noah Hanifin,VGK,EDM,1,SKATER,D,Points,points,0.5,UNDER,81.8%,80.0%,90.0%,80.0%,63.3%,5,10,20,30,0.20,0.40,0.55,0.60,-0.3,-0.1,1,0,0,30,DEPTH,PP_OCC,WEAK,27,3.429,0.000,0.000,0.404,0.115,21.65,23.15,0.76830,0.3183
914,A,Luke Hughes,NJ,DET,0,SKATER,D,Goals,goals,0.5,UNDER,93.7%,100.0%,90.0%,90.0%,86.7%,5,10,20,30,0.00,0.10,0.10,0.13,,-0.4,0,0,0,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.547,0.170,22.84,22.92,0.76809,0.4367
915,A,Conor Geekie,TB,BUF,0,SKATER,F,Assists,assists,0.5,UNDER,85.3%,80.0%,88.9%,88.9%,88.9%,5,9,9,9,0.00,0.00,0.05,0.10,,,0,0,0,30,SHUTDOWN,NO_PP,ELITE,8,2.952,0.000,0.000,0.111,0.000,12.65,10.15,0.76797,0.3533
916,A,Conor Geekie,TB,BUF,0,SKATER,F,Points,points,0.5,UNDER,85.3%,80.0%,88.9%,88.9%,88.9%,5,9,9,9,0.40,0.20,0.20,0.27,-0.1,-0.3,0,1,1,30,SHUTDOWN,NO_PP,ELITE,8,2.952,0.000,0.000,0.111,0.000,12.65,10.15,0.76797,0.3533
917,A,Connor Dewar,PIT,BOS,1,SKATER,F,Goals,goals,0.5,UNDER,96.1%,100.0%,100.0%,85.0%,83.3%,5,10,20,30,0.00,0.10,0.20,0.13,,-0.4,0,0,0,30,DEPTH,NO_PP,AVERAGE,18,3.145,0.000,0.000,0.387,0.000,14.20,13.72,0.76786,0.4608
918,A,Joel Eriksson Ek,MIN,COL,0,SKATER,F,Assists,assists,0.5,UNDER,68.8%,80.0%,60.0%,65.0%,60.0%,5,10,20,30,0.20,0.20,0.20,0.40,-0.3,-0.3,0,0,0,30,SECONDARY,PP_REGULAR,ELITE,1,2.500,0.000,0.000,0.741,0.276,20.50,19.28,0.76750,0.1875
919,A,Valeri Nichushkin,COL,MIN,1,SKATER,F,Assists,assists,0.5,UNDER,68.8%,80.0%,60.0%,65.0%,60.0%,5,10,20,30,0.20,0.20,0.35,0.30,-0.3,-0.3,1,0,0,30,SECONDARY,PP_OCC,ELITE,6,2.891,0.000,0.000,0.698,0.075,21.19,17.93,0.76750,0.1875
920,A,Ryan Donato,CHI,DAL,0,SKATER,F,Points,points,0.5,UNDER,74.8%,80.0%,70.0%,75.0%,70.0%,5,10,20,30,0.60,0.70,0.80,1.07,0.1,0.2,1,0,1,30,DEPTH,NO_PP,ELITE,3,2.742,0.000,0.000,0.419,0.032,18.63,14.80,0.76750,0.2475
921,A,Jordan Greenway,BUF,TB,0,SKATER,F,Goals,goals,0.5,UNDER,99.7%,100.0%,100.0%,100.0%,96.7%,5,10,20,30,0.00,0.00,0.00,0.07,,,0,0,0,30,SHUTDOWN,NO_PP,,,,,,0.152,0.000,13.11,12.40,0.76729,0.4967
922,A,Colton Dach,EDM,VGK,0,SKATER,F,Goals,goals,0.5,UNDER,99.7%,100.0%,100.0%,100.0%,96.7%,5,10,20,30,0.00,0.00,0.00,0.03,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,19,3.190,0.000,0.000,0.000,0.000,9.59,9.53,0.76729,0.4967
923,A,Conor Garland,CBJ,LA,0,SKATER,F,Goals,goals,0.5,UNDER,99.7%,100.0%,100.0%,100.0%,96.7%,5,10,20,30,0.00,0.10,0.15,0.17,,-0.4,0,0,0,30,SHUTDOWN,NO_PP,,,,,,0.000,0.000,18.16,16.67,0.76729,0.4967
924,A,Liam O'Brien,UTA,CHI,0,SKATER,F,Goals,goals,0.5,UNDER,99.7%,100.0%,100.0%,100.0%,96.7%,5,10,20,30,0.00,0.00,0.00,0.03,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.094,0.000,9.02,9.02,0.76729,0.4967
925,A,Joel Armia,LA,CBJ,0,SKATER,F,Goals,goals,0.5,UNDER,97.2%,100.0%,100.0%,90.0%,86.7%,5,10,20,30,0.00,0.00,0.10,0.17,,,0,0,0,30,DEPTH,NO_PP,AVERAGE,20,3.194,0.000,0.000,0.377,0.019,14.11,14.33,0.76679,0.4717
926,A,Zach Benson,BUF,TB,0,SKATER,F,Assists,assists,0.5,UNDER,74.7%,80.0%,70.0%,70.0%,76.7%,5,10,20,30,0.20,0.30,0.30,0.33,-0.3,-0.2,0,0,0,30,SECONDARY,PP_OCC,,,,,,0.587,0.109,16.06,16.07,0.76670,0.2467
927,A,Oskar Back,DAL,CHI,1,SKATER,F,Goals,goals,0.5,UNDER,98.2%,100.0%,100.0%,95.0%,90.0%,5,10,20,30,0.00,0.00,0.05,0.07,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.154,0.000,11.07,12.23,0.76565,0.4825
928,A,Jack Finley,STL,ANA,0,SKATER,F,Points,points,0.5,UNDER,85.5%,80.0%,90.0%,90.0%,85.2%,5,10,20,27,0.20,0.10,0.10,0.15,-0.3,-0.4,0,0,0,26,SHUTDOWN,NO_PP,WEAK,30,3.500,0.000,0.000,0.200,0.000,8.69,10.97,0.76520,0.3552
929,A,Michael Bunting,DAL,CHI,1,SKATER,F,Points,points,0.5,UNDER,77.5%,80.0%,80.0%,70.0%,70.0%,5,10,20,30,1.00,0.60,0.50,0.40,0.5,0.1,0,1,1,30,DEPTH,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.508,0.148,17.02,14.80,0.76500,0.2750
930,A,Brandon Saad,VGK,EDM,1,SKATER,F,Points,points,0.5,UNDER,84.5%,100.0%,70.0%,80.0%,80.0%,5,10,20,30,0.60,0.40,0.50,0.47,0.1,-0.1,3,0,0,30,SHUTDOWN,NO_PP,WEAK,27,3.429,0.000,0.000,0.178,0.000,15.35,13.53,0.76500,0.3450
931,A,Ben Kindel,PIT,BOS,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,69.2%,60.0%,70.0%,80.0%,86.7%,5,10,20,30,0.00,0.00,0.00,0.00,,,,,,0,DEPTH,PP_OCC,AVERAGE,18,3.145,0.000,0.000,0.508,0.169,0.00,15.42,0.76470,0.1917
932,A,Mason Appleton,DET,NJ,0,SKATER,F,Goals,goals,0.5,UNDER,99.3%,100.0%,100.0%,100.0%,93.3%,5,10,20,30,0.00,0.10,0.10,0.10,,-0.4,0,0,0,30,SHUTDOWN,NO_PP,,,,,,0.245,0.000,15.67,13.60,0.76451,0.4933
933,A,Anthony Cirelli,TB,BUF,0,SKATER,F,Assists,assists,0.5,UNDER,69.4%,80.0%,60.0%,65.0%,66.7%,5,10,20,30,1.00,0.60,0.35,0.40,0.5,0.1,0,1,2,30,SECONDARY,PP_OCC,ELITE,8,2.952,0.000,0.000,0.698,0.075,17.78,17.33,0.76420,0.1942
934,A,Sam Carrick,BUF,TB,0,SKATER,F,Points,points,0.5,UNDER,81.4%,80.0%,80.0%,85.0%,86.7%,5,10,20,30,0.20,0.20,0.20,0.13,-0.3,-0.3,0,0,1,30,SHUTDOWN,NO_PP,,,,,,0.000,0.000,9.28,8.92,0.76420,0.3142
935,A,Mats Zuccarello,MIN,COL,0,SKATER,F,Shots On Goal,shots_on_goal,2.5,UNDER,61.1%,60.0%,60.0%,65.0%,63.3%,5,10,20,30,2.60,2.10,2.45,2.17,0.1,-0.4,2,4,1,30,SECONDARY,PP_REGULAR,ELITE,1,2.500,0.000,0.000,0.864,0.341,20.21,18.82,0.76410,0.1108
936,A,Alex Ovechkin,WSH,CGY,0,SKATER,F,Goals,goals,1.5,UNDER,87.1%,80.0%,90.0%,95.0%,93.3%,5,10,20,30,0.60,0.80,0.65,0.70,-0.9,-0.7,1,0,1,30,SECONDARY,PP_REGULAR,SOLID,16,3.048,0.000,0.000,0.781,0.234,17.54,17.77,0.76406,0.3708
937,A,Brock Nelson,COL,MIN,1,SKATER,F,Goals,goals,0.5,UNDER,83.4%,100.0%,80.0%,65.0%,56.7%,5,10,20,30,0.40,0.30,0.35,0.37,-0.1,-0.2,0,2,0,30,SECONDARY,PP_OCC,ELITE,6,2.891,0.000,0.000,0.855,0.194,18.33,19.50,0.76404,0.3342
938,A,J.T. Compher,DET,NJ,0,SKATER,F,Goals,goals,0.5,UNDER,96.8%,100.0%,100.0%,85.0%,90.0%,5,10,20,30,0.20,0.30,0.20,0.17,-0.3,-0.2,0,1,0,30,DEPTH,NO_PP,,,,,,0.317,0.000,16.11,15.03,0.76335,0.4675
939,A,Quinn Hughes,MIN,COL,0,SKATER,D,Shots On Goal,shots_on_goal,1.5,OVER,64.6%,60.0%,70.0%,65.0%,63.3%,5,10,20,30,3.20,2.50,2.70,2.63,1.7,1.0,5,5,0,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.250,0.531,27.09,27.98,0.76330,0.1458
940,A,Jamie Benn,DAL,CHI,1,SKATER,F,Points,points,1.5,UNDER,73.3%,80.0%,60.0%,80.0%,83.3%,5,10,20,30,0.80,0.50,0.55,0.60,-0.7,-1.0,0,2,0,30,SECONDARY,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.650,0.075,14.90,12.77,0.76330,0.2333
941,A,Nils Lundkvist,DAL,CHI,1,SKATER,D,Points,points,0.5,UNDER,80.3%,80.0%,80.0%,80.0%,83.3%,5,10,20,30,0.00,0.20,0.20,0.17,,-0.3,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.229,0.000,15.92,16.57,0.76330,0.3033
942,A,Tyler Bertuzzi,CHI,DAL,0,SKATER,F,Goals,goals,0.5,UNDER,83.2%,80.0%,90.0%,80.0%,76.7%,5,10,20,30,0.40,0.30,0.30,0.20,-0.1,-0.2,0,1,0,30,SECONDARY,PP_REGULAR,ELITE,3,2.742,0.000,0.000,0.780,0.339,15.46,18.35,0.76199,0.3317
943,A,Tyler Bertuzzi,CHI,UTA,0,SKATER,F,Goals,goals,0.5,UNDER,83.2%,80.0%,90.0%,80.0%,76.7%,5,10,20,30,0.40,0.30,0.30,0.20,-0.1,-0.2,0,1,0,30,SECONDARY,PP_REGULAR,ELITE,4,2.746,0.000,0.000,0.780,0.339,15.46,18.35,0.76199,0.3317
944,A,Conor Sheary,NYR,PHI,0,SKATER,F,Goals,goals,0.5,UNDER,98.9%,100.0%,100.0%,95.0%,96.7%,5,10,20,30,0.00,0.00,0.05,0.03,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,17,3.129,0.000,0.000,0.214,0.048,13.64,14.45,0.76114,0.4892
945,A,Garnet Hathaway,PHI,NYR,0,SKATER,F,Goals,goals,0.5,UNDER,98.9%,100.0%,100.0%,95.0%,96.7%,5,10,20,30,0.00,0.00,0.05,0.03,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,22,3.194,0.000,0.000,0.038,0.000,9.56,10.17,0.76114,0.4892
946,A,Tanner Jeannot,BOS,PIT,0,SKATER,F,Goals,goals,0.5,UNDER,94.0%,100.0%,90.0%,90.0%,90.0%,5,10,20,30,0.40,0.20,0.10,0.07,-0.1,-0.3,0,1,1,30,DEPTH,NO_PP,SOLID,9,2.968,0.000,0.000,0.362,0.017,9.58,13.18,0.76080,0.4400
947,A,Cam Fowler,STL,ANA,0,SKATER,D,Goals,goals,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.20,0.10,0.13,,-0.3,0,0,0,30,DEPTH,PP_OCC,WEAK,30,3.500,0.000,0.000,0.323,0.129,20.82,21.35,0.76000,0.5000
948,A,Zeev Buium,VAN,OTT,0,SKATER,D,Goals,goals,0.5,UNDER,95.1%,100.0%,90.0%,95.0%,93.3%,5,10,20,30,0.00,0.00,0.00,0.00,,,,,,0,DEPTH,PP_OCC,AVERAGE,21,3.194,0.000,0.000,0.269,0.154,0.00,19.75,0.75966,0.4508
949,A,Tom Wilson,WSH,CGY,0,SKATER,F,Goals,goals,0.5,UNDER,82.8%,80.0%,90.0%,80.0%,73.3%,5,10,20,30,0.20,0.20,0.25,0.43,-0.3,-0.3,0,0,0,30,ELITE,PP_REGULAR,SOLID,16,3.048,0.000,0.000,0.907,0.204,18.67,19.52,0.75921,0.3283
950,A,Brent Burns,COL,MIN,1,SKATER,D,Points,points,0.5,UNDER,72.9%,80.0%,70.0%,65.0%,66.7%,5,10,20,30,0.60,0.40,0.40,0.37,0.1,-0.1,0,0,1,30,DEPTH,NO_PP,ELITE,6,2.891,0.000,0.000,0.452,0.016,17.96,19.32,0.75920,0.2292
951,A,Anthony Mantha,PIT,BOS,1,SKATER,F,Assists,assists,0.5,UNDER,72.9%,80.0%,70.0%,65.0%,66.7%,5,10,20,30,0.20,0.10,0.23,0.23,-0.3,-0.4,0,0,1,13,SECONDARY,PP_OCC,AVERAGE,18,3.145,0.000,0.000,0.726,0.161,13.75,15.00,0.75920,0.2292
952,A,Connor McDavid,EDM,VGK,0,SKATER,F,Points,points,1.5,OVER,66.9%,80.0%,60.0%,55.0%,56.7%,5,10,20,30,2.20,1.90,1.50,1.50,0.7,0.4,1,2,4,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.683,0.683,21.02,23.10,0.75920,0.1692
953,A,Michael Rasmussen,DET,NJ,0,SKATER,F,Goals,goals,0.5,UNDER,98.6%,100.0%,100.0%,95.0%,93.3%,5,10,20,30,0.00,0.10,0.10,0.17,,-0.4,0,0,0,30,SHUTDOWN,NO_PP,,,,,,0.241,0.000,14.18,12.75,0.75836,0.4858
954,A,Kevin Stenlund,UTA,CHI,0,SKATER,F,Goals,goals,0.5,UNDER,98.6%,100.0%,100.0%,95.0%,93.3%,5,10,20,30,0.20,0.30,0.30,0.23,-0.3,-0.2,0,1,0,30,SHUTDOWN,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.226,0.000,15.80,14.62,0.75836,0.4858
955,A,Leon Draisaitl,EDM,VGK,0,SKATER,F,Goals,goals,1.5,UNDER,81.4%,80.0%,80.0%,85.0%,86.7%,5,10,20,30,0.60,0.70,0.80,0.70,-0.9,-0.8,0,1,2,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.517,0.667,21.24,21.95,0.75764,0.3142
956,A,Dylan Strome,WSH,CGY,0,SKATER,F,Goals,goals,0.5,UNDER,86.2%,100.0%,80.0%,75.0%,70.0%,5,10,20,30,0.80,0.60,0.55,0.47,0.3,0.1,0,3,0,30,SECONDARY,PP_REGULAR,SOLID,16,3.048,0.000,0.000,0.790,0.290,16.95,18.43,0.75725,0.3625
957,A,Anthony Cirelli,TB,BUF,0,SKATER,F,Goals,goals,0.5,UNDER,83.8%,100.0%,70.0%,75.0%,80.0%,5,10,20,30,0.20,0.10,0.35,0.27,-0.3,-0.4,0,0,0,30,SECONDARY,PP_OCC,ELITE,8,2.952,0.000,0.000,0.698,0.075,17.78,17.33,0.75675,0.3375
958,A,Connor Clifton,PIT,BOS,1,SKATER,D,Points,points,0.5,UNDER,79.6%,80.0%,80.0%,75.0%,83.3%,5,10,20,30,0.40,0.50,0.35,0.27,-0.1,0.0,1,0,1,30,SHUTDOWN,NO_PP,AVERAGE,18,3.145,0.000,0.000,0.156,0.000,18.88,16.58,0.75580,0.2958
959,A,Patrick Kane,DET,NJ,0,SKATER,F,Assists,assists,0.5,UNDER,72.6%,80.0%,70.0%,65.0%,63.3%,5,10,20,30,0.60,0.60,0.70,0.63,0.1,0.1,1,0,1,30,SECONDARY,PP_REGULAR,,,,,,0.708,0.250,19.11,17.20,0.75580,0.2258
960,A,Colton Parayko,STL,ANA,0,SKATER,D,Assists,assists,0.5,UNDER,84.6%,80.0%,90.0%,85.0%,83.3%,5,10,20,30,0.20,0.10,0.15,0.17,-0.3,-0.4,1,0,0,30,SHUTDOWN,NO_PP,WEAK,30,3.500,0.000,0.000,0.241,0.000,21.37,22.40,0.75580,0.3458
961,A,Jack Eichel,VGK,EDM,1,SKATER,F,Goals,goals,0.5,UNDER,84.8%,100.0%,80.0%,65.0%,70.0%,5,10,20,30,0.20,0.70,0.45,0.53,-0.3,0.2,1,0,0,30,ELITE,PP1_STAR,WEAK,27,3.429,0.000,0.000,1.273,0.436,18.94,21.33,0.75495,0.3475
962,A,Nico Hischier,NJ,DET,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,62.9%,60.0%,60.0%,75.0%,66.7%,5,10,20,30,0.80,1.30,2.00,2.13,-2.7,-2.2,0,3,0,30,SECONDARY,PP_REGULAR,SOLID,14,3.016,0.000,0.000,0.730,0.238,20.67,20.85,0.75470,0.1292
963,A,Mark Kastelic,BOS,PIT,0,SKATER,F,Goals,goals,0.5,UNDER,93.2%,100.0%,90.0%,85.0%,90.0%,5,10,20,30,0.00,0.10,0.05,0.07,,-0.4,0,0,0,30,DEPTH,NO_PP,SOLID,9,2.968,0.000,0.000,0.274,0.016,10.25,13.15,0.75465,0.4325
964,A,Noel Acciari,PIT,BOS,1,SKATER,F,Goals,goals,0.5,UNDER,94.4%,100.0%,90.0%,95.0%,86.7%,5,10,20,30,0.00,0.10,0.05,0.03,,-0.4,0,0,0,30,DEPTH,NO_PP,AVERAGE,18,3.145,0.000,0.000,0.312,0.000,14.84,13.33,0.75424,0.4442
965,A,Miro Heiskanen,DAL,CHI,1,SKATER,D,Goals,goals,0.5,UNDER,87.1%,80.0%,90.0%,95.0%,93.3%,5,10,20,30,0.00,0.00,0.05,0.03,,,0,0,0,30,SECONDARY,PP_REGULAR,AVERAGE,23,3.242,0.000,0.000,0.867,0.350,24.52,25.88,0.75406,0.3708
966,A,J.J. Moser,TB,BUF,0,SKATER,D,Points,points,0.5,UNDER,73.3%,80.0%,70.0%,70.0%,63.3%,5,10,20,30,0.20,0.10,0.20,0.17,-0.3,-0.4,0,1,0,30,DEPTH,NO_PP,ELITE,8,2.952,0.000,0.000,0.339,0.017,16.99,21.72,0.75330,0.2333
967,A,Darnell Nurse,EDM,VGK,0,SKATER,D,Goals,goals,0.5,UNDER,95.4%,100.0%,90.0%,95.0%,96.7%,5,10,20,30,0.00,0.00,0.05,0.03,,,0,0,0,30,DEPTH,NO_PP,AVERAGE,19,3.190,0.000,0.000,0.317,0.000,23.83,20.82,0.75244,0.4542
968,A,Mattias Ekholm,EDM,VGK,0,SKATER,D,Goals,goals,0.5,UNDER,95.4%,100.0%,90.0%,95.0%,96.7%,5,10,20,30,0.20,0.10,0.15,0.13,-0.3,-0.4,0,0,0,30,DEPTH,NO_PP,AVERAGE,19,3.190,0.000,0.000,0.524,0.048,19.34,20.85,0.75244,0.4542
969,A,Connor McMichael,WSH,CGY,0,SKATER,F,Goals,goals,0.5,UNDER,92.9%,100.0%,90.0%,85.0%,86.7%,5,10,20,30,0.20,0.10,0.20,0.27,-0.3,-0.4,1,0,0,30,DEPTH,NO_PP,SOLID,16,3.048,0.000,0.000,0.517,0.033,15.47,16.98,0.75194,0.4292
970,A,Jake Sanderson,OTT,VAN,0,SKATER,D,Goals,goals,0.5,UNDER,92.9%,100.0%,90.0%,85.0%,86.7%,5,10,20,30,0.00,0.40,0.25,0.27,,-0.1,0,0,0,30,SECONDARY,PP_REGULAR,WEAK,32,3.746,0.000,0.000,0.774,0.306,24.82,24.82,0.75194,0.4292
971,A,Rasmus Dahlin,BUF,TB,0,SKATER,D,Assists,assists,1.5,UNDER,69.2%,60.0%,70.0%,80.0%,86.7%,5,10,20,30,0.80,0.70,0.55,0.67,-0.7,-0.8,0,0,2,30,ELITE,PP_REGULAR,,,,,,0.915,0.305,23.83,24.52,0.75170,0.1917
972,A,Pavel Buchnevich,STL,ANA,0,SKATER,F,Points,points,1.5,UNDER,76.2%,80.0%,70.0%,80.0%,76.7%,5,10,20,30,1.60,1.00,0.95,0.90,0.1,-0.5,3,0,3,30,SECONDARY,PP_REGULAR,WEAK,30,3.500,0.000,0.000,0.613,0.210,19.51,18.25,0.75170,0.2617
973,A,Tyler Tucker,STL,ANA,0,SKATER,D,Assists,assists,0.5,UNDER,84.2%,100.0%,70.0%,80.0%,76.7%,5,10,20,30,0.20,0.30,0.25,0.23,-0.3,-0.2,0,0,0,30,SHUTDOWN,NO_PP,WEAK,30,3.500,0.000,0.000,0.228,0.000,14.59,14.27,0.75170,0.3417
974,A,Tom Willander,VAN,OTT,0,SKATER,D,Goals,goals,0.5,UNDER,94.0%,100.0%,90.0%,90.0%,90.0%,5,10,20,30,0.00,0.20,0.10,0.10,,-0.3,0,0,0,30,DEPTH,PP_OCC,AVERAGE,21,3.194,0.000,0.000,0.333,0.059,18.14,15.85,0.75080,0.4400
975,A,Tye Kartye,NYR,PHI,0,SKATER,F,Goals,goals,0.5,UNDER,95.1%,100.0%,90.0%,95.0%,93.3%,5,10,20,30,0.20,0.10,0.05,0.07,-0.3,-0.4,0,0,0,30,DEPTH,NO_PP,AVERAGE,17,3.129,0.000,0.000,0.250,0.000,11.51,14.28,0.74966,0.4508
976,A,Nathan MacKinnon,COL,MIN,1,SKATER,F,Assists,assists,0.5,OVER,72.9%,80.0%,70.0%,65.0%,66.7%,5,10,20,30,1.00,0.70,0.90,0.93,0.5,0.2,1,0,2,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.705,0.393,22.18,22.28,0.74920,0.2292
977,A,Frank Nazar,CHI,DAL,0,SKATER,F,Assists,assists,0.5,UNDER,67.9%,60.0%,70.0%,85.0%,66.7%,5,10,20,30,0.40,0.40,0.20,0.30,-0.1,-0.1,0,1,1,30,SECONDARY,PP_OCC,ELITE,3,2.742,0.000,0.000,0.587,0.152,17.20,18.45,0.74920,0.1792
978,A,Josh Norris,BUF,TB,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,61.5%,80.0%,50.0%,45.0%,52.0%,5,10,20,25,0.80,0.80,1.30,1.47,-0.7,-0.7,1,0,1,30,ELITE,PP_REGULAR,,,,,,0.920,0.280,16.36,16.00,0.74824,0.1145
979,A,Josh Doan,BUF,TB,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,64.0%,80.0%,60.0%,40.0%,50.0%,5,10,20,30,3.00,2.20,1.85,1.97,1.5,0.7,4,1,3,30,SECONDARY,PP_REGULAR,,,,,,0.667,0.238,12.96,16.15,0.74680,0.1400
980,A,Jason Dickinson,EDM,VGK,0,SKATER,F,Goals,goals,0.5,UNDER,97.2%,100.0%,100.0%,90.0%,86.7%,5,10,20,30,0.00,0.00,0.00,0.07,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,19,3.190,0.000,0.000,0.000,0.000,13.63,12.72,0.74679,0.4717
