proj_id,player_id,player,team,pp_team,pp_opp_team,pp_game_id,pos,stat_type,line,odds_type,start_time,league_id
10235454,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Points,12.5,goblin,2026-03-02T21:00:00.000-05:00,20
10237273,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Points,12.5,goblin,2026-03-02T21:00:00.000-05:00,20
10239370,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Rebs+Asts,12.0,standard,2026-03-02T21:00:00.000-05:00,20
10235539,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Points,11.5,standard,2026-03-02T21:00:00.000-05:00,20
10235586,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Points,11.5,demon,2026-03-02T21:00:00.000-05:00,20
10235591,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Rebounds,11.5,demon,2026-03-02T21:00:00.000-05:00,20
10235604,95070,Tamin Lipsey,ISU,ISU,ARIZ,132695,G,Points,11.5,standard,2026-03-02T21:00:00.000-05:00,20
10249914,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Points,11.5,goblin,2026-03-02T21:00:00.000-05:00,20
10235474,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Points,11.0,standard,2026-03-02T21:00:00.000-05:00,20
10235590,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Rebounds,10.5,demon,2026-03-02T21:00:00.000-05:00,20
10238011,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Rebounds,10.5,demon,2026-03-02T21:00:00.000-05:00,20
10235426,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Points,9.5,demon,2026-03-02T21:00:00.000-05:00,20
10235478,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Points,9.5,goblin,2026-03-02T21:00:00.000-05:00,20
10235525,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Rebounds,9.5,demon,2026-03-02T21:00:00.000-05:00,20
10235543,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Points,9.5,goblin,2026-03-02T21:00:00.000-05:00,20
10235584,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Points,9.5,standard,2026-03-02T21:00:00.000-05:00,20
10235589,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Rebounds,9.5,demon,2026-03-02T21:00:00.000-05:00,20
10235608,95070,Tamin Lipsey,ISU,ISU,ARIZ,132695,G,Points,9.5,goblin,2026-03-02T21:00:00.000-05:00,20
10238009,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Rebounds,9.5,demon,2026-03-02T21:00:00.000-05:00,20
10239367,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Rebs+Asts,9.5,standard,2026-03-02T21:00:00.000-05:00,20
10249910,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Pts+Rebs,9.5,goblin,2026-03-02T21:00:00.000-05:00,20
10251200,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Points,9.5,demon,2026-03-02T21:00:00.000-05:00,20
10235438,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Rebounds,8.5,demon,2026-03-02T21:00:00.000-05:00,20
10235465,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Rebounds,8.5,demon,2026-03-02T21:00:00.000-05:00,20
10235483,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Rebounds,8.5,demon,2026-03-02T21:00:00.000-05:00,20
10235524,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Rebounds,8.5,demon,2026-03-02T21:00:00.000-05:00,20
10235552,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Rebounds,8.5,demon,2026-03-02T21:00:00.000-05:00,20
10238010,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Rebounds,8.5,demon,2026-03-02T21:00:00.000-05:00,20
10238366,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Points,8.5,goblin,2026-03-02T21:00:00.000-05:00,20
10239368,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Rebs+Asts,8.5,standard,2026-03-02T21:00:00.000-05:00,20
10239373,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Rebs+Asts,8.5,standard,2026-03-02T21:00:00.000-05:00,20
10249499,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Rebs+Asts,8.5,standard,2026-03-02T21:00:00.000-05:00,20
10235429,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Pts+Asts,8.0,standard,2026-03-02T21:00:00.000-05:00,20
10239365,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Rebs+Asts,8.0,standard,2026-03-02T21:00:00.000-05:00,20
10239366,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Rebs+Asts,8.0,standard,2026-03-02T21:00:00.000-05:00,20
10235427,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Points,7.5,demon,2026-03-02T21:00:00.000-05:00,20
10235436,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Rebounds,7.5,demon,2026-03-02T21:00:00.000-05:00,20
10235464,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Rebounds,7.5,demon,2026-03-02T21:00:00.000-05:00,20
10235482,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Rebounds,7.5,demon,2026-03-02T21:00:00.000-05:00,20
10235492,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Assists,7.5,demon,2026-03-02T21:00:00.000-05:00,20
10235526,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Rebounds,7.5,demon,2026-03-02T21:00:00.000-05:00,20
10235551,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Rebounds,7.5,demon,2026-03-02T21:00:00.000-05:00,20
10235592,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Rebounds,7.5,goblin,2026-03-02T21:00:00.000-05:00,20
10237946,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Rebounds,7.5,standard,2026-03-02T21:00:00.000-05:00,20
10238317,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Points,7.5,standard,2026-03-02T21:00:00.000-05:00,20
10238318,225279,Anthony Dell'Orso,ARIZ,ARIZ,ISU,132695,G,Points,7.5,standard,2026-03-02T21:00:00.000-05:00,20
