player,team,prop_type,actual,league,SOT,SH,G,A,SV,PA,KP,TK
Eren Elmali,GAL,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Eren Elmali,GAL,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Eren Elmali,GAL,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Yunus Akgün,GAL,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Yunus Akgün,GAL,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Yunus Akgün,GAL,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Yunus Akgün,GAL,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Yunus Akgün,GAL,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Giorgi Mamardashvili,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,3.0,,,
Giorgi Mamardashvili,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,3.0,,,
Giorgi Mamardashvili,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,3.0,,,
Giorgi Mamardashvili,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,3.0,,,
Giorgi Mamardashvili,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,3.0,,,
Virgil van Dijk,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Virgil van Dijk,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Virgil van Dijk,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Ibrahima Konaté,LIV,Goals,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Ibrahima Konaté,LIV,Assists,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Ibrahima Konaté,LIV,Yellow Cards,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Milos Kerkez,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Milos Kerkez,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Milos Kerkez,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Joe Gomez,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Joe Gomez,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Joe Gomez,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Joe Gomez,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Dominik Szoboszlai,LIV,Goals,0.0,uefa.champions,,3.0,0.0,0.0,,,,
Dominik Szoboszlai,LIV,Assists,0.0,uefa.champions,,3.0,0.0,0.0,,,,
Alexis Mac Allister,LIV,Goals,0.0,uefa.champions,,1.0,0.0,0.0,,,,
