Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,D,-0.17,Jaden Bradley,ARIZ,ISU,Assists,Demon,5.5,OVER,-0.3781999999999996,5.1218,0.35,5.4,4.909,2,3,,03/02 09:00PM,ast,
CBB,D,-0.2,Tobe Awaka,ARIZ,ISU,Rebounds,Demon,9.5,OVER,-0.6128,8.8872,0.45,8.6,9.136,2,3,,03/02 09:00PM,reb,
CBB,D,-0.2,Brayden Burries,ARIZ,ISU,Assists,Demon,3.5,OVER,-0.5546000000000002,2.9454,0.45,3,2.727,2,3,,03/02 09:00PM,ast,
CBB,D,-0.21,Paul McNeil,NCST,DUKE,Fantasy Score,Standard,18.5,OVER,0.7896000000000001,19.2896,0.6,18.24,21.523,3,2,Elite,03/02 07:00PM,fantasy score,
CBB,D,-0.22,Tamin Lipsey,ISU,ARIZ,Assists,Demon,4.5,OVER,-0.07099999999999973,4.429,0.35,4,5.095,1,4,Elite,03/02 09:00PM,ast,
CBB,D,-0.24,Tamin Lipsey,ISU,ARIZ,Rebounds,Demon,4.5,OVER,-0.1928000000000001,4.3072,0.4,4.2,4.286,2,3,Elite,03/02 09:00PM,reb,
CBB,D,-0.24,Milan Momcilovic,ISU,ARIZ,Points,Goblin,14.5,OVER,0.3272000000000013,14.8272,0.5,13,17.636,2,3,Elite,03/02 09:00PM,pts,
CBB,D,-0.25,Darrion Williams,NCST,DUKE,Fantasy Score,Standard,24.5,OVER,1.054599999999997,25.5546,0.6,25.98,25.833,3,2,Elite,03/02 07:00PM,fantasy score,
CBB,D,-0.28,Ivan Kharchenkov,ARIZ,ISU,Rebounds,Demon,6.5,OVER,-0.7535999999999996,5.7464,0.35,6.4,4.182,2,3,,03/02 09:00PM,reb,
CBB,D,-0.32,Joshua Jefferson,ISU,ARIZ,Fantasy Score,Standard,35,OVER,0.8272000000000048,35.8272,0.55,35.8,37.841,3,2,Elite,03/02 09:00PM,fantasy score,
CBB,D,-0.34,Brayden Burries,ARIZ,ISU,Rebounds,Demon,6.5,OVER,-0.8718000000000004,5.6282,0.25,5.6,5.591,1,4,,03/02 09:00PM,reb,
CBB,D,-0.39,Ivan Kharchenkov,ARIZ,ISU,Points,Demon,13.5,OVER,-1.204600000000001,12.2954,0.3,13.2,11.227,2,3,,03/02 09:00PM,pts,
CBB,D,-0.41,Koa Peat,ARIZ,ISU,Assists,Demon,3.5,OVER,-0.9241999999999999,2.5758,0.15,2.8,2.579,1,4,,03/02 09:00PM,ast,
CBB,D,-0.41,Motiejus Krivas,ARIZ,ISU,Blocked Shots,Demon,2.5,OVER,-0.8972,1.6028,0.15,1.2,1.864,0,5,,03/02 09:00PM,blk,
CBB,D,-0.42,Joshua Jefferson,ISU,ARIZ,Assists,Demon,5.5,OVER,-0.5846,4.9154,0.2,4.8,5.227,1,4,Elite,03/02 09:00PM,ast,
CBB,D,-0.43,Motiejus Krivas,ARIZ,ISU,3-PT Made,Demon,0.5,OVER,-0.5,0,0,0,0,0,5,,03/02 09:00PM,3pm,
CBB,D,-0.43,Koa Peat,ARIZ,ISU,3-PT Made,Demon,0.5,OVER,-0.5,0,0,0,0,0,5,,03/02 09:00PM,3pm,
CBB,D,-0.43,Milan Momcilovic,ISU,ARIZ,Rebounds,Demon,3.5,OVER,-0.5735999999999999,2.9264,0.15,2.6,3.182,0,5,Elite,03/02 09:00PM,reb,
CBB,D,-0.44,Brayden Burries,ARIZ,ISU,Points,Demon,18.5,OVER,-1.656400000000001,16.8436,0.45,15.6,17.318,2,3,,03/02 09:00PM,pts,
CBB,D,-0.45,Motiejus Krivas,ARIZ,ISU,Rebounds,Demon,9.5,OVER,-1.5228,7.9772,0.4,7.4,8.636,2,3,,03/02 09:00PM,reb,
CBB,D,-0.45,Tobe Awaka,ARIZ,ISU,Rebounds,Demon,10.5,OVER,-1.6128,8.8872,0.45,8.6,9.136,2,3,,03/02 09:00PM,reb,
CBB,D,-0.45,Koa Peat,ARIZ,ISU,Blocked Shots,Demon,1.5,OVER,-1.0042,0.4958,0.25,0.4,0.579,1,4,,03/02 09:00PM,blk,
CBB,D,-0.45,Blake Buchanan,ISU,ARIZ,Pts+Rebs,Demon,14.5,OVER,-0.6499999999999986,13.85,0.35,14.6,14,2,3,Elite,03/02 09:00PM,pr,
CBB,D,-0.46,Ivan Kharchenkov,ARIZ,ISU,Fantasy Score,Demon,28,OVER,-1.826999999999998,26.173,0.4,27.68,24.405,2,3,,03/02 09:05PM,fantasy score,
CBB,D,-0.48,Tobe Awaka,ARIZ,ISU,Blocked Shots,Demon,1.5,OVER,-0.9236,0.5764,0.1,0.4,0.682,0,5,,03/02 09:00PM,blk,
CBB,D,-0.49,Brayden Burries,ARIZ,ISU,Pts+Rebs+Asts,Demon,27.5,OVER,-2.082799999999999,25.4172,0.5,24.2,25.636,2,3,,03/02 09:00PM,pra,
CBB,D,-0.51,Brayden Burries,ARIZ,ISU,Pts+Rebs,Demon,24.5,OVER,-2.028199999999998,22.4718,0.45,21.2,22.909,2,3,,03/02 09:00PM,pr,
CBB,D,-0.51,Jaden Bradley,ARIZ,ISU,Assists,Demon,6.5,OVER,-1.3782,5.1218,0.15,5.4,4.909,1,4,,03/02 09:00PM,ast,
CBB,D,-0.51,Blake Buchanan,ISU,ARIZ,Rebounds,Demon,6.5,OVER,-0.9071999999999996,5.5928,0.2,5.6,5.864,1,4,Elite,03/02 09:00PM,reb,
CBB,D,-0.52,Blake Buchanan,ISU,ARIZ,Points,Demon,9.5,OVER,-1.242800000000001,8.2572,0.45,9,8.136,3,2,Elite,03/02 09:00PM,pts,
CBB,D,-0.53,Quadir Copeland,NCST,DUKE,Fantasy Score,Demon,31,OVER,-0.07840000000000202,30.9216,0.55,27.74,33.223,2,3,Elite,03/02 07:05PM,fantasy score,
CBB,D,-0.53,Motiejus Krivas,ARIZ,ISU,Pts+Rebs,Demon,19.5,OVER,-2.0518,17.4482,0.4,16.2,19.591,2,3,,03/02 09:00PM,pr,
CBB,D,-0.54,Joshua Jefferson,ISU,ARIZ,Rebounds,Demon,7.5,OVER,-1.1254,6.3746,0.3,6,7.273,1,4,Elite,03/02 09:00PM,reb,
CBB,D,-0.55,Motiejus Krivas,ARIZ,ISU,Points,Demon,11.5,OVER,-2.029,9.471,0.4,8.8,10.955,2,3,,03/02 09:00PM,pts,
CBB,D,-0.55,Brayden Burries,ARIZ,ISU,Assists,Demon,4.5,OVER,-1.5546,2.9454,0.2,3,2.727,1,4,,03/02 09:00PM,ast,
CBB,D,-0.58,Tamin Lipsey,ISU,ARIZ,Rebounds,Demon,5.5,OVER,-1.1928,4.3072,0.2,4.2,4.286,1,4,Elite,03/02 09:00PM,reb,
CBB,D,-0.58,Koa Peat,ARIZ,ISU,Rebounds,Demon,6.5,OVER,-1.8264,4.6736,0.25,4.2,5.368,1,4,,03/02 09:00PM,reb,
CBB,D,-0.59,Tobe Awaka,ARIZ,ISU,Fantasy Score,Demon,25,OVER,-2.426200000000001,22.5738,0.4,22.12,23.759,2,3,,03/02 09:05PM,fantasy score,
