cx,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,B,0.92,Keaton Wagler,ILL,MICH,Points,Standard,16.5,OVER,4.149999999999999,20.65,0.6,19.4,21.9,3,2,Elite,02/27 08:00PM,pts,
CBB,B,0.91,Josh Odunowo,UMBC,BRY,Points,Standard,8,OVER,2.450000000000001,10.45,0.8125,11,9.9,3,0,Above Avg,02/26 06:00PM,pts,
CBB,B,0.91,Jeremy Fears,MSU,PUR,Pts+Asts,Standard,23.5,OVER,4.100000000000001,27.6,0.6499999999999999,26.6,28.6,3,2,Elite,02/26 08:00PM,pa,
CBB,B,0.91,Karon Boyd,WICH,MEM,Assists,Goblin,0.5,OVER,1.1,1.6,0.95,1.6,1.6,5,0,Avg,02/26 09:00PM,ast,
CBB,B,0.91,Carson Cooper,MSU,PUR,Fantasy Score,Standard,19.5,OVER,3.815000000000001,23.315,0.6499999999999999,21.26,25.37,3,2,Elite,02/26 08:00PM,fantasy score,
CBB,B,0.89,Tomislav Ivisic,ILL,MICH,Assists,Goblin,0.5,OVER,1.55,2.05,0.95,1.8,2.3,5,0,Elite,02/27 08:00PM,ast,
CBB,B,0.89,Jeremy Fears,MSU,PUR,Pts+Rebs+Asts,Standard,25,OVER,4.400000000000002,29.4,0.6335,28.2,30.6,3,2,Elite,02/26 08:00PM,pra,
CBB,B,0.89,Coen Carr,MSU,PUR,Points,Goblin,9.5,OVER,3,12.5,0.6499999999999999,12.8,12.2,3,2,Elite,02/26 08:00PM,pts,
CBB,B,0.88,Carson Cooper,MSU,PUR,Pts+Rebs+Asts,Goblin,15.5,OVER,3.449999999999999,18.95,0.6499999999999999,18.2,19.7,3,2,Elite,02/26 08:00PM,pra,
CBB,B,0.88,Braden Smith,PUR,MSU,Points,Goblin,11.5,OVER,3.099999999999998,14.6,0.8500000000000001,13.2,16,4,1,Elite,02/26 08:00PM,pts,
CBB,B,0.88,Kenyon Giles,WICH,MEM,Pts+Rebs,Standard,23.5,OVER,2.150000000000002,25.65,0.75,26.6,24.7,4,1,Avg,02/26 09:00PM,pr,
CBB,B,0.88,Carson Cooper,MSU,PUR,Pts+Rebs,Goblin,14.5,OVER,3.299999999999997,17.8,0.6499999999999999,17.2,18.4,3,2,Elite,02/26 08:00PM,pr,
CBB,B,0.86,Derrian Ford,TEM,FAU,Pts+Rebs+Asts,Goblin,22.5,OVER,2.099999999999998,24.6,0.6499999999999999,24,25.2,3,2,Avg,02/26 07:00PM,pra,
CBB,B,0.85,Aday Mara,MICH,ILL,Points,Goblin,8.5,OVER,2.35,10.85,0.95,10.2,11.5,5,0,Elite,02/27 08:00PM,pts,
CBB,B,0.84,Jeremy Fears,MSU,PUR,Assists,Standard,8,OVER,2.550000000000001,10.55,0.8335,11.2,9.9,4,0,Elite,02/26 08:00PM,ast,
CBB,B,0.83,Carson Cooper,MSU,PUR,Rebounds,Goblin,5.5,OVER,2.199999999999999,7.699999999999999,0.8,7.8,7.6,4,1,Elite,02/26 08:00PM,reb,
CBB,B,0.83,Coen Carr,MSU,PUR,Rebounds,Goblin,3.5,OVER,2.2,5.7,0.6499999999999999,5.6,5.8,3,2,Elite,02/26 08:00PM,reb,
CBB,B,0.8,Morez Johnson,MICH,ILL,Points,Goblin,9.5,OVER,2.399999999999999,11.9,0.8500000000000001,11.6,12.2,4,1,Elite,02/27 08:00PM,pts,
CBB,B,0.8,Alex Condon,FLA,ARK,Rebounds,Goblin,5.5,OVER,1.4,6.9,0.5,6.8,7,2,3,Weak,02/28 08:30PM,reb,
CBB,B,0.79,Jordan Mason,TEM,FAU,Points,Goblin,10.5,OVER,1.85,12.35,0.6,12.2,12.5,3,2,Avg,02/26 07:00PM,pts,
CBB,B,0.79,Meleek Thomas,ARK,FLA,Rebounds,Goblin,3.5,OVER,1.850000000000001,5.350000000000001,0.7,6.2,4.5,4,1,Above Avg,02/28 08:30PM,reb,
CBB,B,0.79,Jeremy Fears,MSU,PUR,Steals,Goblin,0.5,OVER,1.15,1.65,0.9,1.6,1.7,5,0,Elite,02/26 08:00PM,stl,
CBB,B,0.79,Julius Thedford,MEM,WICH,Rebounds,Goblin,3.5,OVER,2,5.5,0.6499999999999999,5.8,5.2,3,2,Above Avg,02/26 09:00PM,reb,
CBB,B,0.78,Aiden Tobiason,TEM,FAU,Steals,Goblin,0.5,OVER,0.75,1.25,0.8500000000000001,1,1.5,4,1,Avg,02/26 07:00PM,stl,
CBB,B,0.78,Morez Johnson,MICH,ILL,Rebounds,Goblin,5.5,OVER,2.050000000000001,7.550000000000001,0.8,7.2,7.9,4,1,Elite,02/27 08:00PM,reb,
CBB,B,0.77,David Mirkovic,ILL,MICH,Points,Standard,11.5,OVER,2.700000000000001,14.2,0.8,14.4,14,4,1,Elite,02/27 08:00PM,pts,
CBB,B,0.77,Andrej Stojakovic,ILL,MICH,Rebounds,Goblin,2.5,OVER,1.699999999999999,4.199999999999999,0.8,3.8,4.6,4,1,Elite,02/27 08:00PM,reb,
CBB,B,0.76,Carson Cooper,MSU,PUR,Points,Standard,7.5,OVER,2.600000000000001,10.1,0.6499999999999999,9.4,10.8,3,2,Elite,02/26 08:00PM,pts,
CBB,B,0.76,Dug McDaniel,MEM,WICH,Assists,Goblin,2.5,OVER,1.35,3.85,1,3.8,3.9,5,0,Above Avg,02/26 09:00PM,ast,
CBB,B,0.76,Isaiah Elohim,FAU,TEM,Rebounds,Goblin,3.5,OVER,1.75,5.25,0.75,5.4,5.1,4,1,Above Avg,02/26 07:00PM,reb,
CBB,B,0.75,Kenyon Giles,WICH,MEM,Pts+Rebs+Asts,Standard,25.5,OVER,1.75,27.25,0.75,28,26.5,4,1,Avg,02/26 09:00PM,pra,
CBB,B,0.75,Trey Kaufman-Renn,PUR,MSU,Points,Goblin,11.5,OVER,2.899999999999999,14.4,0.7,15.4,13.4,4,1,Elite,02/26 08:00PM,pts,
CBB,B,0.75,Kylan Boswell,ILL,MICH,Steals,Goblin,0.5,OVER,0.8999999999999999,1.4,1,1.4,1.4,5,0,Elite,02/27 08:00PM,stl,
CBB,B,0.74,David Mirkovic,ILL,MICH,Assists,Standard,1.5,OVER,1.65,3.15,0.75,3.6,2.7,4,1,Elite,02/27 08:00PM,ast,
CBB,B,0.74,Kenyon Giles,WICH,MEM,Points,Standard,20.5,OVER,1.600000000000001,22.1,0.75,22.6,21.6,4,1,Avg,02/26 09:00PM,pts,
CBB,B,0.74,Isaiah Elohim,FAU,TEM,Points,Goblin,11.5,OVER,2.5,14,0.6,13.8,14.2,3,2,Above Avg,02/26 07:00PM,pts,
CBB,B,0.72,Jordan Scott,MSU,PUR,Fantasy Score,Standard,17,OVER,2.650000000000002,19.65,0.85,21.78,17.52,5,0,Elite,02/26 08:00PM,fantasy score,
